name,company_name,price,stock,sku,category,description
1011-026-0205,信都数字科技（上海）有限公司,1.47804,22,CONN-1011026-FCE2AE07,连接器,连接器产品 - 1011-026-0205
104257-4,信都数字科技（上海）有限公司,0.6,4500,CONN-1042574-A10A7226,连接器,连接器产品 - 104257-4
1-1318118-6,信都数字科技（上海）有限公司,1.32348,6800,CONN-1131811-A62CC0EC,连接器,连接器产品 - 1-1318118-6
1-1318119-4,信都数字科技（上海）有限公司,1.31448,20291,CONN-1131811-B7121ED9,连接器,连接器产品 - 1-1318119-4
1-1318120-3,信都数字科技（上海）有限公司,1.80288,50,CONN-1131812-A7675B60,连接器,连接器产品 - 1-1318120-3
114017-ZZ,信都数字科技（上海）有限公司,0.14016,5000,CONN-114017Z-703F5932,连接器,连接器产品 - 114017-ZZ
1-174921-1,信都数字科技（上海）有限公司,1.90116,1000,CONN-1174921-33853A1A,连接器,连接器产品 - 1-174921-1
1-174923-1,信都数字科技（上海）有限公司,1.68864,1600,CONN-1174923-2517EE02,连接器,连接器产品 - 1-174923-1
1-174931-1,信都数字科技（上海）有限公司,2.3814,200,CONN-1174931-A0FE7FBF,连接器,连接器产品 - 1-174931-1
1-174936-1,信都数字科技（上海）有限公司,3.2424,400,CONN-1174936-95F5E078,连接器,连接器产品 - 1-174936-1
1-177648-3,信都数字科技（上海）有限公司,1.50024,1066,CONN-1177648-EB9BFA10,连接器,连接器产品 - 1-177648-3
1-178128-4,信都数字科技（上海）有限公司,1.51524,93,CONN-1178128-1038379E,连接器,连接器产品 - 1-178128-4
1-179552-2,信都数字科技（上海）有限公司,2.16096,4750,CONN-1179552-64BD8469,连接器,连接器产品 - 1-179552-2
1-179552-3,信都数字科技（上海）有限公司,1.827,400,CONN-1179552-AFA1177A,连接器,连接器产品 - 1-179552-3
1-179552-4,信都数字科技（上海）有限公司,2.54868,10,CONN-1179552-10E20DE0,连接器,连接器产品 - 1-179552-4
1-179554-3,信都数字科技（上海）有限公司,2.85972,700,CONN-1179554-49A0AEFA,连接器,连接器产品 - 1-179554-3
1-179554-6,信都数字科技（上海）有限公司,3.19788,770,CONN-1179554-39098EE9,连接器,连接器产品 - 1-179554-6
1-1827864-4,信都数字科技（上海）有限公司,1.35924,98,CONN-1182786-A982C2DC,连接器,连接器产品 - 1-1827864-4
1-1827864-6,信都数字科技（上海）有限公司,1.82688,150,CONN-1182786-F6C1284C,连接器,连接器产品 - 1-1827864-6
1-1827873-5,信都数字科技（上海）有限公司,7.4184,17,CONN-1182787-F1F51BF4,连接器,连接器产品 - 1-1827873-5
1-2177909-1,信都数字科技（上海）有限公司,0.09696,17000,CONN-1217790-73083E7B,连接器,连接器产品 - 1-2177909-1
1-2329463-5,信都数字科技（上海）有限公司,15.48,350,CONN-1232946-5268D3E6,连接器,连接器产品 - 1-2329463-5
1-2840575-2,信都数字科技（上海）有限公司,18.0,2,CONN-1284057-7DB85C5E,连接器,连接器产品 - 1-2840575-2
1-316081-2,信都数字科技（上海）有限公司,9.48,900,CONN-1316081-B166DCF6,连接器,连接器产品 - 1-316081-2
1318123-1,信都数字科技（上海）有限公司,2.7996,281,CONN-1318123-4A865E16,连接器,连接器产品 - 1318123-1
1318774-1,信都数字科技（上海）有限公司,1.188,2500,CONN-1318774-67A90BD2,连接器,连接器产品 - 1318774-1
1376136-1,信都数字科技（上海）有限公司,5.1912,924,CONN-1376136-1F0BC8CB,连接器,连接器产品 - 1376136-1
1379218-1,信都数字科技（上海）有限公司,0.9312,2500,CONN-1379218-926C4561,连接器,连接器产品 - 1379218-1
1-480698-0,信都数字科技（上海）有限公司,0.28524,1333,CONN-1480698-40A80132,连接器,连接器产品 - 1-480698-0
1-480699-0,信都数字科技（上海）有限公司,0.30456,60,CONN-1480699-CDA27C6E,连接器,连接器产品 - 1-480699-0
1-480700-0,信都数字科技（上海）有限公司,0.39144,4684,CONN-1480700-6D497922,连接器,连接器产品 - 1-480700-0
1-480701-0,信都数字科技（上海）有限公司,0.408,7192,CONN-1480701-AB532C31,连接器,连接器产品 - 1-480701-0
