name,company_name,price,stock,sku,category,description
1011-026-0205,信都数字科技（上海）有限公司,1.47804,22,NEW-CONN-09010558-883C5E10,连接器,新导入连接器产品 - 1011-026-0205
104257-4,信都数字科技（上海）有限公司,0.6,4500,NEW-CONN-09010558-129005E8,连接器,新导入连接器产品 - 104257-4
1-1318118-6,信都数字科技（上海）有限公司,1.32348,6800,NEW-CONN-09010558-3991E702,连接器,新导入连接器产品 - 1-1318118-6
1-1318119-4,信都数字科技（上海）有限公司,1.31448,20291,NEW-CONN-09010558-DC58AF63,连接器,新导入连接器产品 - 1-1318119-4
1-1318120-3,信都数字科技（上海）有限公司,1.80288,50,NEW-CONN-09010558-4C4DC32C,连接器,新导入连接器产品 - 1-1318120-3
114017-ZZ,信都数字科技（上海）有限公司,0.14016,5000,NEW-CONN-09010558-74FEF796,连接器,新导入连接器产品 - 114017-ZZ
1-174921-1,信都数字科技（上海）有限公司,1.90116,1000,NEW-CONN-09010558-D4167B9F,连接器,新导入连接器产品 - 1-174921-1
1-174923-1,信都数字科技（上海）有限公司,1.68864,1600,NEW-CONN-09010558-40CA8476,连接器,新导入连接器产品 - 1-174923-1
1-174931-1,信都数字科技（上海）有限公司,2.3814,200,NEW-CONN-09010558-83D72EB5,连接器,新导入连接器产品 - 1-174931-1
1-174936-1,信都数字科技（上海）有限公司,3.2424,400,NEW-CONN-09010558-818EC3CA,连接器,新导入连接器产品 - 1-174936-1
1-177648-3,信都数字科技（上海）有限公司,1.50024,1066,NEW-CONN-09010558-C80C671E,连接器,新导入连接器产品 - 1-177648-3
1-178128-4,信都数字科技（上海）有限公司,1.51524,93,NEW-CONN-09010558-46915AEE,连接器,新导入连接器产品 - 1-178128-4
1-179552-2,信都数字科技（上海）有限公司,2.16096,4750,NEW-CONN-09010558-C2BDE641,连接器,新导入连接器产品 - 1-179552-2
1-179552-3,信都数字科技（上海）有限公司,1.827,400,NEW-CONN-09010558-375D39D8,连接器,新导入连接器产品 - 1-179552-3
1-179552-4,信都数字科技（上海）有限公司,2.54868,10,NEW-CONN-09010558-733417D8,连接器,新导入连接器产品 - 1-179552-4
1-179554-3,信都数字科技（上海）有限公司,2.85972,700,NEW-CONN-09010558-475C13EA,连接器,新导入连接器产品 - 1-179554-3
1-179554-6,信都数字科技（上海）有限公司,3.19788,770,NEW-CONN-09010558-DE94701F,连接器,新导入连接器产品 - 1-179554-6
1-1827864-4,信都数字科技（上海）有限公司,1.35924,98,NEW-CONN-09010558-952F2CDE,连接器,新导入连接器产品 - 1-1827864-4
1-1827864-6,信都数字科技（上海）有限公司,1.82688,150,NEW-CONN-09010558-0D2898AF,连接器,新导入连接器产品 - 1-1827864-6
1-1827873-5,信都数字科技（上海）有限公司,7.4184,17,NEW-CONN-09010558-2059E2CB,连接器,新导入连接器产品 - 1-1827873-5
1-2177909-1,信都数字科技（上海）有限公司,0.09696,17000,NEW-CONN-09010558-FBD813DC,连接器,新导入连接器产品 - 1-2177909-1
1-2329463-5,信都数字科技（上海）有限公司,15.48,350,NEW-CONN-09010558-556CFDCC,连接器,新导入连接器产品 - 1-2329463-5
1-2840575-2,信都数字科技（上海）有限公司,18.0,2,NEW-CONN-09010558-A773C06F,连接器,新导入连接器产品 - 1-2840575-2
1-316081-2,信都数字科技（上海）有限公司,9.48,900,NEW-CONN-09010558-FB90B9DE,连接器,新导入连接器产品 - 1-316081-2
1318123-1,信都数字科技（上海）有限公司,2.7996,281,NEW-CONN-09010558-69ED5125,连接器,新导入连接器产品 - 1318123-1
1318774-1,信都数字科技（上海）有限公司,1.188,2500,NEW-CONN-09010558-CF923B20,连接器,新导入连接器产品 - 1318774-1
1376136-1,信都数字科技（上海）有限公司,5.1912,924,NEW-CONN-09010558-D59263CD,连接器,新导入连接器产品 - 1376136-1
1379218-1,信都数字科技（上海）有限公司,0.9312,2500,NEW-CONN-09010558-BFC03316,连接器,新导入连接器产品 - 1379218-1
1-480698-0,信都数字科技（上海）有限公司,0.28524,1333,NEW-CONN-09010558-89794126,连接器,新导入连接器产品 - 1-480698-0
1-480699-0,信都数字科技（上海）有限公司,0.30456,60,NEW-CONN-09010558-9609F80B,连接器,新导入连接器产品 - 1-480699-0
1-480700-0,信都数字科技（上海）有限公司,0.39144,4684,NEW-CONN-09010558-E327C985,连接器,新导入连接器产品 - 1-480700-0
1-480701-0,信都数字科技（上海）有限公司,0.408,7192,NEW-CONN-09010558-F9577CC8,连接器,新导入连接器产品 - 1-480701-0
1-480702-0,信都数字科技（上海）有限公司,0.3276,3081,NEW-CONN-09010558-123CB0C6,连接器,新导入连接器产品 - 1-480702-0
1-480703-0,信都数字科技（上海）有限公司,0.3906,1101,NEW-CONN-09010558-CE694352,连接器,新导入连接器产品 - 1-480703-0
1-480706-0,信都数字科技（上海）有限公司,0.534,5410,NEW-CONN-09010558-B310CACE,连接器,新导入连接器产品 - 1-480706-0
1-480708-0,信都数字科技（上海）有限公司,0.7056,500,NEW-CONN-09010558-5AFAD320,连接器,新导入连接器产品 - 1-480708-0
1-480709-0,信都数字科技（上海）有限公司,0.756,15,NEW-CONN-09010558-E665EEB6,连接器,新导入连接器产品 - 1-480709-0
1-480710-0,信都数字科技（上海）有限公司,1.071,381,NEW-CONN-09010558-B246B89B,连接器,新导入连接器产品 - 1-480710-0
1-480711-0,信都数字科技（上海）有限公司,1.1466,1,NEW-CONN-09010558-FC577175,连接器,新导入连接器产品 - 1-480711-0
1-480763-0,信都数字科技（上海）有限公司,0.68676,1537,NEW-CONN-09010558-E7DF4782,连接器,新导入连接器产品 - 1-480763-0
151049-2209,信都数字科技（上海）有限公司,0.3558,16000,NEW-CONN-09010558-959655BF,连接器,新导入连接器产品 - 151049-2209
15324229,信都数字科技（上海）有限公司,1.68,4,NEW-CONN-09010558-762EEB98,连接器,新导入连接器产品 - 15324229
15495811,信都数字科技（上海）有限公司,1.176,4000,NEW-CONN-09010558-684502D2,连接器,新导入连接器产品 - 15495811
171358-1,信都数字科技（上海）有限公司,2.52,500,NEW-CONN-09010558-844D88B0,连接器,新导入连接器产品 - 171358-1
171809-1,信都数字科技（上海）有限公司,0.24,8000,NEW-CONN-09010558-5286B597,连接器,新导入连接器产品 - 171809-1
171892-1,信都数字科技（上海）有限公司,2.1024,1000,NEW-CONN-09010558-08547D0E,连接器,新导入连接器产品 - 171892-1
172024-1,信都数字科技（上海）有限公司,2.12064,1200,NEW-CONN-09010558-FAA33C2A,连接器,新导入连接器产品 - 172024-1
172044-1,信都数字科技（上海）有限公司,3.774,200,NEW-CONN-09010558-6FF197EC,连接器,新导入连接器产品 - 172044-1
178289-5,信都数字科技（上海）有限公司,1.3314,59,NEW-CONN-09010558-1E446173,连接器,新导入连接器产品 - 178289-5
178289-6,信都数字科技（上海）有限公司,1.77312,9050,NEW-CONN-09010558-20C94ED1,连接器,新导入连接器产品 - 178289-6
178289-8,信都数字科技（上海）有限公司,2.76576,230,NEW-CONN-09010558-B6DD1190,连接器,新导入连接器产品 - 178289-8
178803-3,信都数字科技（上海）有限公司,2.10516,12750,NEW-CONN-09010558-BD5C9F7B,连接器,新导入连接器产品 - 178803-3
178803-7,信都数字科技（上海）有限公司,11.616,180,NEW-CONN-09010558-40332FAD,连接器,新导入连接器产品 - 178803-7
178803-8,信都数字科技（上海）有限公司,3.66,200,NEW-CONN-09010558-09AB9A8C,连接器,新导入连接器产品 - 178803-8
178964-3,信都数字科技（上海）有限公司,2.1672,8400,NEW-CONN-09010558-A51BC80F,连接器,新导入连接器产品 - 178964-3
178964-4,信都数字科技（上海）有限公司,5.09928,24,NEW-CONN-09010558-C7176EFB,连接器,新导入连接器产品 - 178964-4
178964-5,信都数字科技（上海）有限公司,2.184,2000,NEW-CONN-09010558-D2047751,连接器,新导入连接器产品 - 178964-5
178964-7,信都数字科技（上海）有限公司,2.16,1100,NEW-CONN-09010558-96343AFC,连接器,新导入连接器产品 - 178964-7
